timestamp,angulo_brazo_d,angulo_brazo_i,angulo_pierna_d,angulo_pierna_i
1761484419.22,47.28,86.32,178.88,179.59
1761484419.28,30.28,86.55,179.74,179.36
1761484419.35,22.57,82.06,179.98,178.18
1761484419.42,4.25,69.17,179.83,176.3
1761484419.49,14.76,62.25,179.25,175.84
1761484419.55,22.51,52.91,177.16,174.71
1761484419.62,122.97,51.7,176.16,176.43
1761484419.68,143.37,50.15,179.65,177.78
1761484419.75,136.49,45.55,178.6,177.51
1761484419.82,102.17,36.91,179.19,177.99
1761484419.88,81.08,27.05,179.73,178.43
1761484419.95,72.8,24.89,176.51,178.12
1761484420.02,74.73,24.0,178.77,177.75
1761484420.08,69.74,21.64,179.84,176.83
1761484420.15,66.07,21.32,178.75,178.4
1761484420.22,65.33,21.86,178.27,178.04
1761484420.29,64.12,16.67,178.04,178.63
1761484420.35,61.12,12.78,177.82,178.83
1761484420.43,60.08,8.33,177.38,179.02
1761484420.48,53.82,4.66,176.87,179.69
1761484420.55,50.19,0.8,177.73,178.82
1761484420.62,48.43,1.52,176.49,179.44
1761484420.68,48.35,1.82,176.88,177.26
1761484420.75,49.52,5.03,176.95,176.83
1761484420.82,47.48,5.0,177.19,178.01
1761484420.89,48.72,6.59,176.93,175.96
1761484420.95,46.83,5.12,177.36,175.02
1761484421.02,48.51,4.15,178.35,176.84
1761484421.09,49.4,2.71,177.3,177.26
1761484421.16,43.14,3.88,178.2,176.86
1761484421.22,45.6,3.65,178.64,177.1
1761484421.29,50.76,12.14,176.85,176.81
1761484421.35,51.29,7.38,169.52,168.08
1761484421.42,48.69,5.06,162.22,163.15
1761484421.49,51.62,5.44,149.15,150.96
1761484421.55,53.13,5.48,174.5,173.1
1761484421.62,55.33,7.49,172.12,173.87
1761484421.69,61.32,19.7,173.22,175.29
1761484421.75,82.65,23.84,178.1,175.36
1761484421.82,115.45,29.21,162.75,173.08
1761484421.89,127.63,46.87,158.52,174.14
1761484421.96,168.71,61.09,153.69,173.72
1761484422.02,176.34,86.15,169.69,175.17
1761484422.09,171.27,100.29,170.97,178.06
1761484422.15,173.59,108.19,173.77,177.88
1761484422.22,167.25,124.07,176.11,179.7
1761484422.28,170.65,129.29,178.11,179.41
1761484422.35,172.75,137.06,179.95,177.96
1761484422.44,175.43,144.34,179.76,179.09
1761484422.49,178.53,151.8,179.73,178.42
1761484422.55,178.46,156.03,178.41,179.24
1761484422.62,175.99,170.93,179.27,178.84
1761484422.69,175.83,169.23,179.27,179.34
1761484422.76,173.08,167.51,178.62,179.45
1761484422.84,176.43,166.51,177.55,177.69
1761484422.92,173.36,165.54,178.77,179.81
1761484422.99,174.88,158.65,178.94,178.8
1761484423.05,179.17,151.5,177.12,179.27
1761484423.12,179.54,137.76,178.08,177.49
1761484423.18,175.7,110.17,178.96,179.82
1761484423.25,171.15,75.54,177.96,179.59
1761484423.32,142.38,55.88,178.8,179.57
1761484423.39,107.76,41.72,179.84,179.24
1761484423.46,73.55,35.78,177.75,178.62
1761484423.52,61.05,29.08,177.03,178.4
1761484423.59,53.45,26.1,177.14,178.46
1761484423.65,42.85,21.95,175.54,178.77
1761484423.72,40.0,15.87,173.12,178.26
1761484423.79,37.55,15.95,173.57,178.61
1761484423.85,34.43,12.02,173.15,178.24
1761484423.92,32.57,7.54,173.39,177.61
1761484423.99,31.61,4.56,173.78,177.54
1761484424.06,30.23,3.42,174.59,176.88
1761484424.12,26.6,4.09,174.38,177.32
1761484424.18,27.2,1.72,176.63,176.28
1761484424.25,26.07,0.3,177.15,177.16
1761484424.32,27.22,0.17,179.23,177.18
1761484424.39,29.33,0.4,179.23,177.67
1761484424.45,29.33,0.3,176.93,178.38
1761484424.52,29.89,1.77,176.66,177.99
1761484424.58,28.82,7.23,176.6,177.83
1761484424.65,27.78,8.43,177.68,177.44
1761484424.72,27.96,9.42,177.93,177.81
1761484424.79,30.46,10.06,177.72,177.57
1761484424.85,29.8,8.09,177.77,177.65
1761484424.92,30.41,9.49,179.71,177.09
1761484424.98,31.42,14.63,179.81,177.65
1761484425.06,36.78,20.69,179.98,177.37
1761484425.12,42.08,29.78,179.73,178.6
1761484425.18,107.67,48.71,179.46,178.79
1761484425.25,175.05,78.75,179.01,178.91
1761484425.32,165.23,105.38,179.32,179.18
1761484425.39,159.5,123.33,179.83,178.72
1761484425.45,161.81,140.14,179.79,177.07
1761484425.52,164.62,150.02,178.92,178.25
1761484425.59,167.77,156.19,177.7,179.9
1761484425.66,169.37,157.54,176.01,178.55
1761484425.72,168.67,160.88,175.88,177.47
1761484425.79,167.26,161.41,176.37,177.65
1761484425.85,167.79,160.59,177.84,179.9
1761484425.92,168.18,157.22,177.91,178.94
1761484425.98,166.93,146.53,179.85,179.01
1761484426.05,166.29,139.03,179.49,179.79
1761484426.12,171.26,115.94,178.98,174.47
1761484426.18,170.11,59.73,177.48,179.26
1761484426.25,124.34,23.09,177.67,177.44
1761484426.32,43.1,5.94,177.64,177.34
1761484426.49,34.75,26.0,177.36,179.13
1761484426.57,29.78,163.84,179.02,176.11
1761484426.63,38.97,146.82,178.35,179.65
1761484426.7,34.74,109.57,177.22,178.99
1761484426.77,35.44,164.26,177.47,179.59
1761484426.83,30.99,174.34,178.92,179.43
1761484426.9,34.32,168.94,179.78,179.88
1761484426.97,35.08,18.14,179.36,179.46
1761484427.03,30.3,114.67,177.58,179.29
1761484427.1,26.1,17.7,178.32,175.39
1761484427.17,92.31,19.76,177.93,176.35
1761484427.23,125.18,164.04,179.27,179.29
1761484427.3,129.31,16.09,177.52,175.66
1761484427.37,135.15,13.18,170.43,171.47
1761484427.43,146.16,66.57,171.14,173.67
1761484427.5,155.77,50.03,168.85,172.15
1761484427.57,166.74,129.97,169.3,175.53
1761484427.63,175.93,154.3,171.47,173.71
1761484427.7,174.02,165.6,172.5,173.86
1761484427.77,171.88,165.92,175.11,175.6
1761484427.83,169.67,159.05,176.3,176.07
1761484427.9,166.69,146.4,174.47,172.91
1761484427.97,178.08,128.67,172.02,174.9
1761484428.03,179.61,114.67,174.84,178.52
1761484428.1,179.01,110.82,177.31,179.13
1761484428.17,176.26,110.46,177.27,179.21
1761484428.23,173.49,114.49,177.21,178.96
1761484428.3,174.78,121.53,179.1,179.83
1761484428.37,176.87,126.76,178.98,179.81
1761484428.42,176.84,153.17,179.62,179.85
1761484428.48,173.7,158.89,178.86,179.02
1761484428.55,171.79,159.35,178.61,179.27
1761484428.62,170.81,159.88,179.57,179.43
1761484428.69,170.08,171.63,180.0,179.86
1761484428.75,168.12,156.12,176.96,177.83
1761484428.82,157.39,165.77,155.83,164.18
1761484428.89,36.44,9.58,172.57,178.17
